City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,mount gambier,-37.8333,140.7667,53.13,57,76,7.2,AU,1698703560
142,aberdeen,57.1437,-2.0981,43.29,72,75,6.91,GB,1698703560
143,portland,45.5234,-122.6762,63.93,40,5,11.99,US,1698703221
144,sao gabriel da cachoeira,-0.1303,-67.0892,83.91,69,97,2.08,BR,1698703304
145,kulhudhuffushi,6.6221,73.07,81.28,76,100,4.83,MV,1698703561
146,georgetown,5.4112,100.3354,80.53,92,20,5.75,MY,1698703387
147,candido de abreu,-24.5669,-51.3333,72.63,98,58,3.6,BR,1698703367
148,cookeville,36.1628,-85.5016,47.79,95,100,5.75,US,1698703460
149,anadyr,64.75,177.4833,34.3,93,75,15.66,RU,1698703461
150,sao joao da barra,-21.6403,-41.0511,77.09,95,81,2.71,BR,1698703564
151,milazzo,38.2212,15.2383,73.58,65,62,21.32,IT,1698703565
152,magistral'nyy,56.1725,107.4458,17.37,55,7,2.39,RU,1698703565
153,bergerac,44.8333,0.5,53.82,87,75,3.44,FR,1698703566
154,murzuq,25.9155,13.9184,72.03,29,0,8.23,LY,1698703566
155,saint-joseph,-21.3667,55.6167,73.78,82,28,1.7,RE,1698703567
156,kodiak,57.79,-152.4072,45.91,93,100,10.36,US,1698703508
157,surab,28.4914,66.2585,57.81,47,47,1.19,PK,1698703568
158,juba,4.8517,31.5825,74.25,74,87,2.84,SS,1698703325
159,kencong,-8.2833,113.3667,74.08,90,11,2.55,ID,1698703569
160,nouadhibou,20.931,-17.0347,69.78,94,0,13.8,MR,1698703569
161,midvagur,62.0511,-7.1939,38.23,81,40,8.05,FO,1698703570
162,ilulissat,69.2167,-51.1,35.62,55,5,20.71,GL,1698703570
163,saint-philippe,-21.3585,55.7679,74.79,82,27,9.51,RE,1698703571
164,fort bragg,35.139,-79.006,84.78,48,0,14.97,US,1698703241
165,strasshof an der nordbahn,48.3158,16.6502,63.55,74,100,5.01,AT,1698703572
166,talodi,10.6325,30.3797,77.13,79,90,1.95,SD,1698703571
167,sitka,57.0531,-135.33,48.09,81,100,5.75,US,1698703550
168,tremonton,41.7119,-112.1655,47.86,37,0,5.01,US,1698703573
169,delacombe,-37.5891,143.8147,47.73,71,6,4.0,AU,1698703573
170,urangan,-25.3,152.9,71.64,70,0,14.16,AU,1698703574
171,hotan,37.0997,79.9269,56.77,20,0,5.37,CN,1698703574
172,nishinoomote,30.7333,131.0,69.76,67,17,11.36,JP,1698703575
173,berdigestyakh,62.0989,126.6992,-14.35,100,98,2.39,RU,1698703575
174,koraput,18.8167,82.7167,59.31,83,13,4.0,IN,1698703576
175,san luis de la loma,17.2706,-100.8939,83.88,88,34,3.8,MX,1698703457
176,edmundston,47.3737,-68.3251,30.74,93,100,1.14,CA,1698703285
177,lazaro cardenas,17.9583,-102.2,83.44,76,8,7.02,MX,1698703577
178,tamanrasset,22.785,5.5228,75.11,16,40,4.61,DZ,1698703578
179,seka,17.9285,103.9552,70.77,86,69,4.47,TH,1698703578
180,khvoynaya,58.9,34.5333,29.52,96,100,1.34,RU,1698703579
181,namsos,64.4662,11.4957,24.85,86,0,8.05,NO,1698703579
182,aykhal,66.0,111.5,-5.58,99,100,5.82,RU,1698703580
183,guerrero negro,27.9769,-114.0611,71.96,57,0,11.77,MX,1698703311
184,waajid,3.8096,43.2463,78.33,71,87,10.76,SO,1698703581
185,dudinka,69.4058,86.1778,1.67,97,100,1.99,RU,1698703581
186,vuktyl,63.8567,57.3094,19.11,70,100,10.0,RU,1698703582
187,glendive,47.1053,-104.7125,24.76,74,0,17.27,US,1698703582
188,phek,25.6667,94.5,46.96,97,12,1.7,IN,1698703583
189,le port,-20.9373,55.2919,75.2,87,35,4.21,RE,1698703583
190,kourou,5.1552,-52.6478,84.25,84,19,6.24,GF,1698703584
191,uturoa,-16.7333,-151.4333,79.05,80,8,18.25,PF,1698703584
192,astrakhan,46.3497,48.0408,40.87,100,0,4.47,RU,1698703585
